J501234567;FERRETERIA CENTRAL CARACAS                      ;AV LIBERTADOR EDIF TORRE CENTRAL PISO 5 CARACAS                                                                                                                     ;0212-5551001                                                ;ventas@centralcaracas.com               ;VEN1      ;10        ;C30       ;
J501234568;DISTRIBUIDORA MARACAY INDUSTRIAL              ;ZONA INDUSTRIAL LA MORITA MARACAY ARAGUA                                                                                                                            ;0243-5551002                                                ;info@maracayind.com                     ;VEN2      ;13        ;C15       ;
J501234569;CONSTRUCCIONES VALENCIA MODERNA                ;AV BOLIVAR CENTRO VALENCIA CARABOBO                                                                                                                                 ;0241-5551003                                                ;.                                       ;VEN3      ;14        ;CONTADO   ;
J501234570;IMPORTADORA BARQUISIMETO CENTRO               ;CARRERA 19 CALLE 30 BARQUISIMETO LARA                                                                                                                               ;0251-5551004                                                ;contacto@barquisimetocentro.com         ;VEN1      ;14        ;C45       ;
J501234571;SUMINISTROS MARACAIBO SUR                     ;AV 15 DELICIAS MARACAIBO ZULIA                                                                                                                                      ;0261-5551005                                                ;.                                       ;VEN4      ;02        ;C30       ;
J501234572;MATERIALES MERIDA CENTRO                      ;AV LAS AMERICAS MERIDA ESTADO MERIDA                                                                                                                                ;0274-5551006                                                ;ventas@meridacentro.com                 ;VEN5      ;40        ;C60       ;
J501234573;HERRAMIENTAS SAN CRISTOBAL NORTE              ;CARRERA 7 BARRIO OBRERO SAN CRISTOBAL TACHIRA                                                                                                                       ;0276-5551007                                                ;.                                       ;VEN6      ;30        ;C15       ;
J501234574;COMERCIAL PUERTO LA CRUZ ESTE                 ;AV PRINCIPAL LECHERIA PUERTO LA CRUZ ANZOATEGUI                                                                                                                     ;0281-5551008                                                ;info@puertolacruze.com                  ;VEN7      ;60        ;C45       ;
J501234575;INVERSIONES BARCELONA NORTE                   ;AV FUERZAS ARMADAS BARCELONA ANZOATEGUI                                                                                                                             ;0281-5551009                                                ;ventas@barcelonanorte.com               ;VEN1      ;60        ;CONTADO   ;
J501234576;DISTRIBUIDORA PUNTO FIJO OESTE                ;AV BOLIVAR PUNTO FIJO FALCON                                                                                                                                        ;0269-5551010                                                ;.                                       ;VEN2      ;30        ;C30       ;
J501234577;FERRETERIA CUMANA CENTRO                      ;CALLE SUCRE CUMANA SUCRE                                                                                                                                            ;0293-5551011                                                ;ventas@cumanac.com                      ;VEN3      ;10        ;C15       ;
J501234578;MATERIALES CIUDAD BOLIVAR SUR                 ;AV UPATA CIUDAD BOLIVAR BOLIVAR                                                                                                                                     ;0285-5551012                                                ;.                                       ;VEN4      ;13        ;C45       ;
J501234579;CONSTRUCCIONES MATURIN ESTE                   ;AV LIBERTADOR MATURIN MONAGAS                                                                                                                                       ;0291-5551013                                                ;info@maturineste.com                    ;VEN5      ;14        ;C30       ;
